id,sentence1,sentence2,classification,Text_Cleaned1,lemmatized_text1,Text_Cleaned2,lemmatized_text2,cosine_similarity_score,overlap_score,overlap2_score,cosine/length_ratio,jaccard_similarity_score,lemma_jaccard_score,overall_sim_score,overall_similarity_path_semantic,overall_similarity_wup_semantic,overall_similarity_combined_semantic,jaccard_distance_bigrams,cosine_similarity_bigrams,bigram_similarity,jaccard_distance_trigrams,cosine_similarity_trigrams,trigram_similarity,jaccard_distance_quadgrams,cosine_similarity_quadgrams,quadgram_similarity
train_id_3,A representative for Phoenix-based U-Haul declined to comment on the case before the judge 's opinion was released .,"Anthony Citrano , a representative for WhenU , declined to comment on the case .",0.0,"['representative', 'phoenix', 'based', 'u', 'haul', 'declined', 'comment', 'case', 'judge', 'opinion', 'released']","['representative', 'phoenix', 'based', 'u', 'haul', 'declined', 'comment', 'case', 'judge', 'opinion', 'released']","['anthony', 'citrano', 'representative', 'whenu', 'declined', 'comment', 'case']","['anthony', 'citrano', 'representative', 'whenu', 'declined', 'comment', 'case']",0.4558423058385518,0.7922077922077922,0.7777777777777778,0.2900814673518057,0.2857142857142857,0.2857142857142857,0.4563842022153457,0.519994944818869,0.41005017858950454,0.4432705437085956,0.14285714285714285,0.25819888974716115,0.125,0.07692307692307693,0.14907119849998599,0.07142857142857142,0.0,0.0,0.0
train_id_5,Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain .,Crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel .,0.0,"['crews', 'worked', 'install', 'new', 'culvert', 'prepare', 'highway', 'motorists', 'could', 'use', 'eastbound', 'lanes', 'travel', 'storm', 'clouds', 'threatened', 'dump', 'rain']","['crew', 'worked', 'install', 'new', 'culvert', 'prepare', 'highway', 'motorist', 'could', 'use', 'eastbound', 'lane', 'travel', 'storm', 'cloud', 'threatened', 'dump', 'rain']","['crews', 'worked', 'install', 'new', 'culvert', 'repave', 'highway', 'motorists', 'could', 'use', 'eastbound', 'lanes', 'travel']","['crew', 'worked', 'install', 'new', 'culvert', 'repave', 'highway', 'motorist', 'could', 'use', 'eastbound', 'lane', 'travel']",0.7844645405527363,0.7435897435897435,0.6129032258064516,0.5665577237325318,0.631578947368421,0.631578947368421,0.7043314934452131,0.7653535989874609,0.7974197466767238,0.7962067762088407,0.5263157894736842,0.7001400420140049,0.3448275862068966,0.42105263157894735,0.6030226891555273,0.2962962962962963,0.3157894736842105,0.48989794855663554,0.24
train_id_7,"It will cost about $ 20,000 per eight-week course of treatment , comparable to other injected cancer therapies , a spokeswoman said .","It will cost about $ 20,000 per average course of treatment -16 to 17 weeks .",0.0,"['cost', '20', '000', 'per', 'eight', 'week', 'course', 'treatment', 'comparable', 'injected', 'cancer', 'therapies', 'spokeswoman', 'said']","['cost', '20', '000', 'per', 'eight', 'week', 'course', 'treatment', 'comparable', 'injected', 'cancer', 'therapy', 'spokeswoman', 'said']","['cost', '20', '000', 'per', 'average', 'course', 'treatment', '16', '17', 'weeks']","['cost', '20', '000', 'per', 'average', 'course', 'treatment', '16', '17', 'week']",0.50709255283711,0.8285714285714285,0.75,0.36220896631222144,0.3333333333333333,0.4117647058823529,0.5300840979814009,0.5504201643030322,0.4734014913790193,0.515704508783654,0.2222222222222222,0.36980013081681945,0.18181818181818182,0.1111111111111111,0.20412414523193148,0.1,0.058823529411764705,0.11396057645963795,0.05555555555555555
train_id_11,A federal judge ruled that the monument violated the law and ordered it removed .,The federal courts have ruled that the monument violates the constitutional ban against state-established religion .,0.0,"['federal', 'judge', 'ruled', 'monument', 'violated', 'law', 'ordered', 'removed']","['federal', 'judge', 'ruled', 'monument', 'violated', 'law', 'ordered', 'removed']","['federal', 'courts', 'ruled', 'monument', 'violates', 'constitutional', 'ban', 'state', 'established', 'religion']","['federal', 'court', 'ruled', 'monument', 'violates', 'constitutional', 'ban', 'state', 'established', 'religion']",0.33541019662496846,0.925,0.8333333333333334,0.2683281572999748,0.2,0.2,0.4314757303333053,0.41941440016914183,0.35069676417991025,0.3953867781490645,0.06666666666666667,0.1259881576697424,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
train_id_17,"The benchmark 10-year note US10YT = RR slipped 16 / 32 in price , sending its yield to 4.48 percent from 4.42 percent late on Thursday .",The yield on the 10-year Treasury note rose to 4.46 % from 4.42 % late Thursday .,0.0,"['benchmark', '10', 'year', 'note', 'us10yt', 'rr', 'slipped', '16', '32', 'price', 'sending', 'yield', '4', '48', 'percent', '4', '42', 'percent', 'late', 'thursday']","['benchmark', '10', 'year', 'note', 'us10yt', 'rr', 'slipped', '16', '32', 'price', 'sending', 'yield', '4', '48', 'percent', '4', '42', 'percent', 'late', 'thursday']","['yield', '10', 'year', 'treasury', 'note', 'rose', '4', '46', '4', '42', 'late', 'thursday']","['yield', '10', 'year', 'treasury', 'note', 'rose', '4', '46', '4', '42', 'late', 'thursday']",0.600099198148979,0.7,0.71875,0.3600595188893874,0.38095238095238093,0.38095238095238093,0.47218614420424637,0.7624940312106094,0.6489149964571311,0.7178012790174866,0.1111111111111111,0.2075143391598224,0.1,0.0,0.0,0.0,0.0,0.0,0.0
train_id_20,"A year earlier , it posted a profit of $ 102 million , or 13 cents a share .","That was more than double the $ 102 million , or 13 cents a share , for the year-earlier quarter .",0.0,"['year', 'earlier', 'posted', 'profit', '102', 'million', '13', 'cents', 'share']","['year', 'earlier', 'posted', 'profit', '102', 'million', '13', 'cent', 'share']","['double', '102', 'million', '13', 'cents', 'share', 'year', 'earlier', 'quarter']","['double', '102', 'million', '13', 'cent', 'share', 'year', 'earlier', 'quarter']",0.7777777777777778,1.0,0.6111111111111112,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7575757575757575,0.6255094188168493,0.5939535040658637,0.6153357039552729,0.45454545454545453,0.6249999999999999,0.3125,0.2727272727272727,0.4285714285714285,0.21428571428571427,0.2,0.33333333333333337,0.16666666666666666
train_id_22,"Limbaugh 's lawyer , Roy Black , has accused the Palm Beach State Attorney 's Office of having political motives for investigating whether the conservative radio commentator bought painkillers illegally .","Limbaugh 's attorney , Roy Black , has accused the State Attorney 's Office of having political motives for its investigation .",0.0,"['limbaugh', 'lawyer', 'roy', 'black', 'accused', 'palm', 'beach', 'state', 'attorney', 'office', 'political', 'motives', 'investigating', 'whether', 'conservative', 'radio', 'commentator', 'bought', 'painkillers', 'illegally']","['limbaugh', 'lawyer', 'roy', 'black', 'accused', 'palm', 'beach', 'state', 'attorney', 'office', 'political', 'motif', 'investigating', 'whether', 'conservative', 'radio', 'commentator', 'bought', 'painkiller', 'illegally']","['limbaugh', 'attorney', 'roy', 'black', 'accused', 'state', 'attorney', 'office', 'political', 'motives', 'investigation']","['limbaugh', 'attorney', 'roy', 'black', 'accused', 'state', 'attorney', 'office', 'political', 'motif', 'investigation']",0.6201736729460423,0.6318181818181818,0.7096774193548387,0.3410955201203233,0.42857142857142855,0.42857142857142855,0.5131112991278346,0.6973584230352301,0.6071872421274379,0.6541714108162404,0.2608695652173913,0.43528575006600695,0.20689655172413793,0.17391304347826086,0.31426968052735443,0.14814814814814814,0.08695652173913043,0.17149858514250882,0.08
train_id_26,A report on the finding appears in Friday 's issue of the journal Science .,The results were announced at a NASA headquarters news conference Thursday and in today 's issue of the journal Science .,0.0,"['report', 'finding', 'appears', 'friday', 'issue', 'journal', 'science']","['report', 'finding', 'appears', 'friday', 'issue', 'journal', 'science']","['results', 'announced', 'nasa', 'headquarters', 'news', 'conference', 'thursday', 'today', 'issue', 'journal', 'science']","['result', 'announced', 'nasa', 'headquarters', 'news', 'conference', 'thursday', 'today', 'issue', 'journal', 'science']",0.3418817293789138,0.8441558441558441,0.8333333333333334,0.21756110051385424,0.2,0.2,0.39924134507248854,0.2629952378094103,0.16356114108923098,0.22185522361723903,0.14285714285714285,0.25819888974716115,0.125,0.07692307692307693,0.14907119849998599,0.07142857142857142,0.0,0.0,0.0
train_id_29,"Hispanics , the fastest growing ethnic group in the US , have overtaken blacks to become the largest minority in the US , according to newly released government figures .","Hispanics have officially overtaken African Americans as the largest minority group in the US , according to a report released by the US Census Bureau .",0.0,"['hispanics', 'fastest', 'growing', 'ethnic', 'group', 'us', 'overtaken', 'blacks', 'become', 'largest', 'minority', 'us', 'according', 'newly', 'released', 'government', 'figures']","['hispanic', 'fastest', 'growing', 'ethnic', 'group', 'u', 'overtaken', 'black', 'become', 'largest', 'minority', 'u', 'according', 'newly', 'released', 'government', 'figure']","['hispanics', 'officially', 'overtaken', 'african', 'americans', 'largest', 'minority', 'group', 'us', 'according', 'report', 'released', 'us', 'census', 'bureau']","['hispanic', 'officially', 'overtaken', 'african', 'american', 'largest', 'minority', 'group', 'u', 'according', 'report', 'released', 'u', 'census', 'bureau']",0.6120563724821229,0.9294117647058824,0.71875,0.5400497404254025,0.36363636363636365,0.36363636363636365,0.5391788472640596,0.6181557596202447,0.5693755151620321,0.6056860870386684,0.1111111111111111,0.2004459314343183,0.1,0.0,0.0,0.0,0.0,0.0,0.0
train_id_37,"Sun was the lone major vendor to see its shipments decline , falling 2.9 percent to 59,692 units .","IBM ( NYSE : IBM ) was the fastest-growing vendor , with sales jumping 37 percent to 220,000 units .",0.0,"['sun', 'lone', 'major', 'vendor', 'see', 'shipments', 'decline', 'falling', '2', '9', 'percent', '59', '692', 'units']","['sun', 'lone', 'major', 'vendor', 'see', 'shipment', 'decline', 'falling', '2', '9', 'percent', '59', '692', 'unit']","['ibm', 'nyse', 'ibm', 'fastest', 'growing', 'vendor', 'sales', 'jumping', '37', 'percent', '220', '000', 'units']","['ibm', 'nyse', 'ibm', 'fastest', 'growing', 'vendor', 'sale', 'jumping', '37', 'percent', '220', '000', 'unit']",0.20701966780270628,0.9835164835164835,0.8888888888888888,0.19223254867394154,0.13043478260869565,0.13043478260869565,0.38598493078748386,0.42777170649938184,0.334192619585878,0.3726827339004734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
