id,sentence1,sentence2,classification,Text_Cleaned1,Text_Cleaned2,lemmatized_text1,lemmatized_text2,cosine_similarity_score,overlap_score,overlap2_score,cosine/length_ratio,jaccard_similarity_score,lemma_jaccard_score,overall_sim_score,overall_similarity_path_semantic,overall_similarity_wup_semantic,overall_similarity_combined_semantic,jaccard_distance_bigrams,cosine_similarity_bigrams,bigram_similarity,jaccard_distance_trigrams,cosine_similarity_trigrams,trigram_similarity,jaccard_distance_quadgrams,cosine_similarity_quadgrams,quadgram_similarity
train_id_0,The Democratic candidates also began announcing their fund-raising totals before Wednesday 's deadline to file quarterly reports with the Federal Election Commission .,The Democratic candidates also began announcing their fund-raising totals in advance of the deadline today to file quarterly reports with the Federal Election Commission .,1,"['The', 'Democratic', 'candidates', 'also', 'began', 'announcing', 'fund-raising', 'totals', 'Wednesday', ""'s"", 'deadline', 'file', 'quarterly', 'reports', 'Federal', 'Election', 'Commission']","['The', 'Democratic', 'candidates', 'also', 'began', 'announcing', 'fund-raising', 'totals', 'advance', 'deadline', 'today', 'file', 'quarterly', 'reports', 'Federal', 'Election', 'Commission']","['democratic', 'candidate', 'also', 'begin', 'announce', 'fund-raising', 'total', 'wednesday', ""'s"", 'deadline', 'file', 'quarterly', 'report', 'federal', 'election', 'commission']","['democratic', 'candidate', 'also', 'begin', 'announce', 'fund-raising', 'total', 'advance', 'deadline', 'today', 'file', 'quarterly', 'report', 'federal', 'election', 'commission']",0.8823529411764706,1.0,0.5588235294117647,0.8823529411764706,0.7894736842105263,0.7777777777777778,0.8557504873294346,0.797873298060723,0.870100735026064,0.8364089568514832,0.5789473684210527,0.7333333333333333,0.36666666666666664,0.47368421052631576,0.6428571428571429,0.32142857142857145,0.3684210526315789,0.5384615384615385,0.2692307692307692
train_id_1,"The woman was exposed to the SARS virus while in the hospital but was not a health care worker , said Dr. Colin D ’ Cunha , Ontario ’ s commissioner of public health .","The woman was exposed to the SARS virus while in the hospital but was not a health-care worker , said Dr Colin D 'Cunha , Ontario 's commissioner of public health .",1,"['The', 'woman', 'exposed', 'SARS', 'virus', 'hospital', 'health', 'care', 'worker', 'said', 'Dr.', 'Colin', 'D', '’', 'Cunha', 'Ontario', '’', 'commissioner', 'public', 'health']","['The', 'woman', 'exposed', 'SARS', 'virus', 'hospital', 'health-care', 'worker', 'said', 'Dr', 'Colin', 'D', ""'Cunha"", 'Ontario', ""'s"", 'commissioner', 'public', 'health']","['woman', 'expose', 'sars', 'virus', 'hospital', 'health', 'care', 'worker', 'say', 'dr.', 'colin', '’', 'cunha', 'ontario', '’', 'commissioner', 'public', 'health']","['woman', 'expose', 'sars', 'virus', 'hospital', 'health-care', 'worker', 'say', 'dr', 'colin', ""'cunha"", 'ontario', ""'s"", 'commissioner', 'public', 'health']",0.7216878364870323,0.9222222222222222,0.631578947368421,0.6495190528383291,0.6363636363636364,0.6,0.7328713616710042,0.8067733148629745,0.8928225217132634,0.852218446739416,0.28,0.4383570037596046,0.21875,0.15384615384615385,0.2672612419124244,0.13333333333333333,0.07692307692307693,0.1432229748078866,0.07142857142857142
train_id_2,He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .,He said the prob lem needs to be corrected before the space shuttle fleet flies again .,1,"['He', 'said', 'problem', 'needs', 'corrected', 'space', 'shuttle', 'fleet', 'cleared', 'fly']","['He', 'said', 'prob', 'lem', 'needs', 'corrected', 'space', 'shuttle', 'fleet', 'flies']","['say', 'problem', 'need', 'correct', 'space', 'shuttle', 'fleet', 'clear', 'fly']","['say', 'prob', 'lem', 'need', 'correct', 'space', 'shuttle', 'fleet', 'fly']",0.6999999999999998,1.0,0.65,0.6999999999999998,0.5384615384615384,0.6363636363636364,0.7249417249417248,0.656468893975914,0.581397619292435,0.613893268386184,0.3333333333333333,0.4999999999999999,0.25,0.2727272727272727,0.4285714285714285,0.21428571428571427,0.2,0.33333333333333337,0.16666666666666666
train_id_4,"The biggest threat to order seemed to be looting and crime , including robberies by some of the prisoners freed by Saddam before the war .","The biggest threat to order seemed to be looting and crime , including robberies by some of the tens of thousands of prisoners that Mr. Hussein freed last year .",1,"['The', 'biggest', 'threat', 'order', 'seemed', 'looting', 'crime', 'including', 'robberies', 'prisoners', 'freed', 'Saddam', 'war']","['The', 'biggest', 'threat', 'order', 'seemed', 'looting', 'crime', 'including', 'robberies', 'tens', 'thousands', 'prisoners', 'Mr.', 'Hussein', 'freed', 'last', 'year']","['big', 'threat', 'order', 'seem', 'loot', 'crime', 'include', 'robbery', 'prisoner', 'free', 'saddam', 'war']","['big', 'threat', 'order', 'seem', 'loot', 'crime', 'include', 'robbery', 'ten', 'thousand', 'prisoner', 'mr.', 'hussein', 'free', 'last', 'year']",0.7399400733959438,0.8009049773755657,0.6333333333333333,0.5658365267145452,0.5789473684210527,0.5555555555555556,0.6696591853906048,0.6303496717712529,0.6702478025556099,0.6533442172066655,0.3684210526315789,0.5449492609130661,0.2692307692307692,0.3333333333333333,0.50709255283711,0.25,0.29411764705882354,0.4622501635210243,0.22727272727272727
train_id_6,"The S & P 500 finished 13.78 points higher at 930.08 , or 1.5 per cent , the highest level since January 14 .","The S & P rose 13.78 , or 1.5 percent , to 930.08 , the best level since Jan. 14 .",1,"['The', 'S', 'P', '500', 'finished', '13.78', 'points', 'higher', '930.08', '1.5', 'per', 'cent', 'highest', 'level', 'since', 'January', '14']","['The', 'S', 'P', 'rose', '13.78', '1.5', 'percent', '930.08', 'best', 'level', 'since', 'Jan.', '14']","['p', '500', 'finish', '13.78', 'point', 'high', '930.08', '1.5', 'per', 'cent', 'high', 'level', 'since', 'january', '14']","['p', 'rise', '13.78', '1.5', 'percent', '930.08', 'best', 'level', 'since', 'jan.', '14']",0.6054055145966812,0.8371040723981901,0.7,0.4629571582209915,0.42857142857142855,0.3888888888888889,0.5639783165518412,0.4186801109646528,0.3629109400170125,0.3719444787906668,0.043478260869565216,0.08451542547285165,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
train_id_9,"But an agency employee lent the tape to a friend , who lent it to Mr. Gonzalez .","An ad agency employee gave the copy to a friend , who passed the movie to Gonzalez , prosecutors said .",1,"['But', 'agency', 'employee', 'lent', 'tape', 'friend', 'lent', 'Mr.', 'Gonzalez']","['An', 'ad', 'agency', 'employee', 'gave', 'copy', 'friend', 'passed', 'movie', 'Gonzalez', 'prosecutors', 'said']","['agency', 'employee', 'lend', 'tape', 'friend', 'lend', 'mr.', 'gonzalez']","['ad', 'agency', 'employee', 'give', 'copy', 'friend', 'pass', 'movie', 'gonzalez', 'prosecutor', 'say']",0.3481553119113957,0.8888888888888888,0.8095238095238095,0.2611164839335468,0.25,0.2857142857142857,0.4396879125049753,0.2882773567333507,0.2695696323262564,0.2779303381084835,0.0625,0.11952286093343936,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
train_id_10,"Shares of Pleasanton-based PeopleSoft rose 4 cents , to $ 16.96 , in Monday trading on the Nasdaq Stock Market .",PeopleSoft shares were up 4 cents at $ 16.96 in late morning trade on the Nasdaq .,1,"['Shares', 'Pleasanton-based', 'PeopleSoft', 'rose', '4', 'cents', '16.96', 'Monday', 'trading', 'Nasdaq', 'Stock', 'Market']","['PeopleSoft', 'shares', '4', 'cents', '16.96', 'late', 'morning', 'trade', 'Nasdaq']","['share', 'pleasanton-based', 'peoplesoft', 'rise', '4', 'cent', '16.96', 'monday', 'trading', 'nasdaq', 'stock', 'market']","['peoplesoft', 'share', '4', 'cent', '16.96', 'late', 'morning', 'trade', 'nasdaq']",0.4811252243246881,0.8611111111111112,0.7619047619047619,0.3608439182435161,0.3125,0.4,0.5261751345948129,0.4766060652809366,0.3993787020044183,0.43187171167566135,0.11764705882352941,0.21320071635561041,0.10526315789473684,0.0625,0.11952286093343936,0.058823529411764705,0.0,0.0,0.0
train_id_12,"By comparison , the proportion of people with a BMI of 50 or above increased by a factor of five — from about 1 in 2,000 to one in 400 .","Those with a BMI of 50 or greater , sometimes called super obesity , increased by a factor of five , from one in 2,000 to one in 400 .",1,"['By', 'comparison', 'proportion', 'people', 'BMI', '50', 'increased', 'factor', 'five', '—', '1', '2,000', 'one', '400']","['Those', 'BMI', '50', 'greater', 'sometimes', 'called', 'super', 'obesity', 'increased', 'factor', 'five', 'one', '2,000', 'one', '400']","['comparison', 'proportion', 'people', 'bmi', '50', 'increase', 'factor', 'five', '—', '1', '2,000', 'one', '400']","['bmi', '50', 'great', 'sometimes', 'call', 'super', 'obesity', 'increase', 'factor', 'five', 'one', '2,000', 'one', '400']",0.583383351196948,0.9619047619047619,0.7241379310344828,0.5444911277838181,0.4,0.4444444444444444,0.6055833432575637,0.5775221035699403,0.6047497826703352,0.5901375745850683,0.25,0.4003203845127179,0.2,0.09523809523809523,0.17407765595569785,0.08695652173913043,0.0,0.0,0.0
train_id_13,"The news service reports wages among all nongovernment workers rose an average 2.7 percent from July 2002 through June 2003 , according to the Bureau of Labor Statistics .","According to the Bureau of Labor Statistics , wages among all nongovernment workers rose an average 2.7 percent from July 2002 through June 2003 .",1,"['The', 'news', 'service', 'reports', 'wages', 'among', 'nongovernment', 'workers', 'rose', 'average', '2.7', 'percent', 'July', '2002', 'June', '2003', 'according', 'Bureau', 'Labor', 'Statistics']","['According', 'Bureau', 'Labor', 'Statistics', 'wages', 'among', 'nongovernment', 'workers', 'rose', 'average', '2.7', 'percent', 'July', '2002', 'June', '2003']","['news', 'service', 'report', 'wage', 'among', 'nongovernment', 'worker', 'rise', 'average', '2.7', 'percent', 'july', '2002', 'june', '2003', 'accord', 'bureau', 'labor', 'statistic']","['accord', 'bureau', 'labor', 'statistic', 'wage', 'among', 'nongovernment', 'worker', 'rise', 'average', '2.7', 'percent', 'july', '2002', 'june', '2003']",0.8385254915624211,0.8125,0.5833333333333333,0.6708203932499369,0.7142857142857143,0.8421052631578947,0.816939389481175,0.6686676573093033,0.7148111335105208,0.6879414179051606,0.7368421052631579,0.8520128672302585,0.42424242424242425,0.631578947368421,0.7778444682625973,0.3870967741935484,0.5263157894736842,0.6933752452815365,0.3448275862068966
train_id_14,Vaccine makers have been thrust in the limelight following government programmes to encourage wider vaccination and fears of biological attacks on civilian and military targets .,Vaccine makers have been thrust into the limelight as government programs encourage wider vaccination amid fears of biological attacks .,1,"['Vaccine', 'makers', 'thrust', 'limelight', 'following', 'government', 'programmes', 'encourage', 'wider', 'vaccination', 'fears', 'biological', 'attacks', 'civilian', 'military', 'targets']","['Vaccine', 'makers', 'thrust', 'limelight', 'government', 'programs', 'encourage', 'wider', 'vaccination', 'amid', 'fears', 'biological', 'attacks']","['vaccine', 'maker', 'thrust', 'limelight', 'follow', 'government', 'programme', 'encourage', 'wide', 'vaccination', 'fear', 'biological', 'attack', 'civilian', 'military', 'target']","['vaccine', 'maker', 'thrust', 'limelight', 'government', 'program', 'encourage', 'wide', 'vaccination', 'amid', 'fear', 'biological', 'attack']",0.76271276980969,0.8413461538461539,0.6206896551724138,0.6197041254703731,0.6111111111111112,0.6111111111111112,0.7078700136960733,0.7582917520707546,0.7521761707410183,0.7502818254684642,0.35,0.521749194749951,0.25925925925925924,0.19047619047619047,0.3223291856101521,0.16,0.045454545454545456,0.08770580193070293,0.043478260869565216
